stockcode,stockname,date,lagclose,close,marketvalue,region
DJI.GI,道琼斯工业平均,20200327,22552.1699,21636.7793,0,美国
DJI.GI,道琼斯工业平均,20200330,21636.7793,22327.4805,0,美国
DJI.GI,道琼斯工业平均,20200331,22327.4805,21917.1602,0,美国
DJI.GI,道琼斯工业平均,20200401,21917.1602,20943.5098,0,美国
FCHI.GI,法国CAC40,20190102,4730.69,4689.39,0,法国
FCHI.GI,法国CAC40,20190103,4689.39,4611.49,0,法国
FCHI.GI,法国CAC40,20190104,4611.49,4737.12,0,法国
FCHI.GI,法国CAC40,20190107,4737.12,4719.17,0,法国
FCHI.GI,法国CAC40,20190108,4719.17,4773.27,0,法国
FCHI.GI,法国CAC40,20190109,4773.27,4813.58,0,法国
FCHI.GI,法国CAC40,20190110,4813.58,4805.66,0,法国
FCHI.GI,法国CAC40,20190111,4805.66,4781.34,0,法国
FCHI.GI,法国CAC40,20190114,4781.34,4762.75,0,法国
FCHI.GI,法国CAC40,20190115,4762.75,4786.17,0,法国
FCHI.GI,法国CAC40,20190116,4786.17,4810.74,0,法国
FCHI.GI,法国CAC40,20190117,4810.74,4794.37,0,法国
FCHI.GI,法国CAC40,20190118,4794.37,4875.93,0,法国
FCHI.GI,法国CAC40,20190121,4875.93,4867.78,0,法国
FCHI.GI,法国CAC40,20190122,4867.78,4847.53,0,法国
FCHI.GI,法国CAC40,20190123,4847.53,4840.38,0,法国
FCHI.GI,法国CAC40,20190124,4840.38,4871.96,0,法国
FCHI.GI,法国CAC40,20190125,4871.96,4925.82,0,法国
FCHI.GI,法国CAC40,20190128,4925.82,4888.58,0,法国
FCHI.GI,法国CAC40,20190129,4888.58,4928.18,0,法国
FCHI.GI,法国CAC40,20190130,4928.18,4974.76,0,法国
FCHI.GI,法国CAC40,20190131,4974.76,4992.72,0,法国
FCHI.GI,法国CAC40,20190201,4992.72,5019.26,0,法国
FCHI.GI,法国CAC40,20190204,5019.26,5000.19,0,法国
FCHI.GI,法国CAC40,20190205,5000.19,5083.34,0,法国
FCHI.GI,法国CAC40,20190206,5083.34,5079.05,0,法国
FCHI.GI,法国CAC40,20190207,5079.05,4985.56,0,法国
FCHI.GI,法国CAC40,20190208,4985.56,4961.64,0,法国
FCHI.GI,法国CAC40,20190211,4961.64,5014.47,0,法国
FCHI.GI,法国CAC40,20190212,5014.47,5056.35,0,法国
FCHI.GI,法国CAC40,20190213,5056.35,5074.27,0,法国
FCHI.GI,法国CAC40,20190214,5074.27,5062.52,0,法国
FCHI.GI,法国CAC40,20190215,5062.52,5153.19,0,法国
FCHI.GI,法国CAC40,20190218,5153.19,5168.54,0,法国
FCHI.GI,法国CAC40,20190219,5168.54,5160.52,0,法国
FCHI.GI,法国CAC40,20190220,5160.52,5195.95,0,法国
FCHI.GI,法国CAC40,20190221,5195.95,5196.11,0,法国
FCHI.GI,法国CAC40,20190222,5196.11,5215.85,0,法国
FCHI.GI,法国CAC40,20190225,5215.85,5231.85,0,法国
FCHI.GI,法国CAC40,20190226,5231.85,5238.72,0,法国
FCHI.GI,法国CAC40,20190227,5238.72,5225.35,0,法国
FCHI.GI,法国CAC40,20190228,5225.35,5240.53,0,法国
FCHI.GI,法国CAC40,20190301,5240.53,5265.19,0,法国
FCHI.GI,法国CAC40,20190304,5265.19,5286.57,0,法国
FCHI.GI,法国CAC40,20190305,5286.57,5297.52,0,法国
FCHI.GI,法国CAC40,20190306,5297.52,5288.81,0,法国
FCHI.GI,法国CAC40,20190307,5288.81,5267.92,0,法国
FCHI.GI,法国CAC40,20190308,5267.92,5231.22,0,法国
FCHI.GI,法国CAC40,20190311,5231.22,5265.96,0,法国
FCHI.GI,法国CAC40,20190312,5265.96,5270.25,0,法国
FCHI.GI,法国CAC40,20190313,5270.25,5306.38,0,法国
FCHI.GI,法国CAC40,20190314,5306.38,5349.78,0,法国
FCHI.GI,法国CAC40,20190315,5349.78,5405.32,0,法国
FCHI.GI,法国CAC40,20190318,5405.32,5412.83,0,法国
FCHI.GI,法国CAC40,20190319,5412.83,5425.9,0,法国
FCHI.GI,法国CAC40,20190320,5425.9,5382.66,0,法国
FCHI.GI,法国CAC40,20190321,5382.66,5378.85,0,法国
FCHI.GI,法国CAC40,20190322,5378.85,5269.92,0,法国
FCHI.GI,法国CAC40,20190325,5269.92,5260.64,0,法国
FCHI.GI,法国CAC40,20190326,5260.64,5307.38,0,法国
FCHI.GI,法国CAC40,20190327,5307.38,5301.24,0,法国
FCHI.GI,法国CAC40,20190328,5301.24,5296.54,0,法国
FCHI.GI,法国CAC40,20190329,5296.54,5350.53,0,法国
FCHI.GI,法国CAC40,20190401,5350.53,5405.53,0,法国
FCHI.GI,法国CAC40,20190402,5405.53,5423.47,0,法国
FCHI.GI,法国CAC40,20190403,5423.47,5468.91,0,法国
FCHI.GI,法国CAC40,20190404,5468.91,5463.8,0,法国
FCHI.GI,法国CAC40,20190405,5463.8,5476.2,0,法国
FCHI.GI,法国CAC40,20190408,5476.2,5471.78,0,法国
FCHI.GI,法国CAC40,20190409,5471.78,5436.42,0,法国
FCHI.GI,法国CAC40,20190410,5436.42,5449.88,0,法国
FCHI.GI,法国CAC40,20190411,5449.88,5485.72,0,法国
FCHI.GI,法国CAC40,20190412,5485.72,5502.7,0,法国
FCHI.GI,法国CAC40,20190415,5502.7,5508.73,0,法国
FCHI.GI,法国CAC40,20190416,5508.73,5528.67,0,法国
FCHI.GI,法国CAC40,20190417,5528.67,5563.09,0,法国
FCHI.GI,法国CAC40,20190418,5563.09,5580.38,0,法国
FCHI.GI,法国CAC40,20190423,5580.38,5591.69,0,法国
FCHI.GI,法国CAC40,20190424,5591.69,5576.06,0,法国
FCHI.GI,法国CAC40,20190425,5576.06,5557.67,0,法国
FCHI.GI,法国CAC40,20190426,5557.67,5569.36,0,法国
FCHI.GI,法国CAC40,20190429,5569.36,5580.98,0,法国
FCHI.GI,法国CAC40,20190430,5580.98,5586.41,0,法国
FCHI.GI,法国CAC40,20190502,5586.41,5538.86,0,法国
FCHI.GI,法国CAC40,20190503,5538.86,5548.84,0,法国
FCHI.GI,法国CAC40,20190506,5548.84,5483.52,0,法国
FCHI.GI,法国CAC40,20190507,5483.52,5395.75,0,法国
FCHI.GI,法国CAC40,20190508,5395.75,5417.59,0,法国
FCHI.GI,法国CAC40,20190509,5417.59,5313.16,0,法国
FCHI.GI,法国CAC40,20190510,5313.16,5327.44,0,法国
FCHI.GI,法国CAC40,20190513,5327.44,5262.57,0,法国
FCHI.GI,法国CAC40,20190514,5262.57,5341.35,0,法国
FCHI.GI,法国CAC40,20190515,5341.35,5374.26,0,法国
FCHI.GI,法国CAC40,20190516,5374.26,5448.11,0,法国
FCHI.GI,法国CAC40,20190517,5448.11,5438.23,0,法国
FCHI.GI,法国CAC40,20190520,5438.23,5358.59,0,法国
FCHI.GI,法国CAC40,20190521,5358.59,5385.46,0,法国
FCHI.GI,法国CAC40,20190522,5385.46,5378.98,0,法国
FCHI.GI,法国CAC40,20190523,5378.98,5281.37,0,法国
FCHI.GI,法国CAC40,20190524,5281.37,5316.51,0,法国
FCHI.GI,法国CAC40,20190527,5316.51,5336.19,0,法国
FCHI.GI,法国CAC40,20190528,5336.19,5312.69,0,法国
FCHI.GI,法国CAC40,20190529,5312.69,5222.12,0,法国
FCHI.GI,法国CAC40,20190530,5222.12,5248.91,0,法国
FCHI.GI,法国CAC40,20190531,5248.91,5207.63,0,法国
FCHI.GI,法国CAC40,20190603,5207.63,5241.46,0,法国
FCHI.GI,法国CAC40,20190604,5241.46,5268.26,0,法国
FCHI.GI,法国CAC40,20190605,5268.26,5292,0,法国
FCHI.GI,法国CAC40,20190606,5292,5278.43,0,法国
FCHI.GI,法国CAC40,20190607,5278.43,5364.05,0,法国
FCHI.GI,法国CAC40,20190610,5364.05,5382.5,0,法国
FCHI.GI,法国CAC40,20190611,5382.5,5408.45,0,法国
FCHI.GI,法国CAC40,20190612,5408.45,5374.92,0,法国
FCHI.GI,法国CAC40,20190613,5374.92,5375.63,0,法国
FCHI.GI,法国CAC40,20190614,5375.63,5367.62,0,法国
FCHI.GI,法国CAC40,20190617,5367.62,5390.95,0,法国
FCHI.GI,法国CAC40,20190618,5390.95,5509.73,0,法国
FCHI.GI,法国CAC40,20190619,5509.73,5518.45,0,法国
FCHI.GI,法国CAC40,20190620,5518.45,5535.57,0,法国
FCHI.GI,法国CAC40,20190621,5535.57,5528.33,0,法国
FCHI.GI,法国CAC40,20190624,5528.33,5521.71,0,法国
FCHI.GI,法国CAC40,20190625,5521.71,5514.57,0,法国
FCHI.GI,法国CAC40,20190626,5514.57,5500.72,0,法国
FCHI.GI,法国CAC40,20190627,5500.72,5493.61,0,法国
FCHI.GI,法国CAC40,20190628,5493.61,5538.97,0,法国
FCHI.GI,法国CAC40,20190701,5538.97,5567.91,0,法国
FCHI.GI,法国CAC40,20190702,5567.91,5576.82,0,法国
FCHI.GI,法国CAC40,20190703,5576.82,5618.81,0,法国
FCHI.GI,法国CAC40,20190704,5618.81,5620.73,0,法国
FCHI.GI,法国CAC40,20190705,5620.73,5593.72,0,法国
FCHI.GI,法国CAC40,20190708,5593.72,5589.19,0,法国
FCHI.GI,法国CAC40,20190709,5589.19,5572.1,0,法国
FCHI.GI,法国CAC40,20190710,5572.1,5567.59,0,法国
FCHI.GI,法国CAC40,20190711,5567.59,5551.95,0,法国
FCHI.GI,法国CAC40,20190712,5551.95,5572.86,0,法国
FCHI.GI,法国CAC40,20190715,5572.86,5578.21,0,法国
FCHI.GI,法国CAC40,20190716,5578.21,5614.38,0,法国
FCHI.GI,法国CAC40,20190717,5614.38,5571.71,0,法国
FCHI.GI,法国CAC40,20190718,5571.71,5550.55,0,法国
FCHI.GI,法国CAC40,20190719,5550.55,5552.34,0,法国
FCHI.GI,法国CAC40,20190722,5552.34,5567.02,0,法国
FCHI.GI,法国CAC40,20190723,5567.02,5618.16,0,法国
